,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
416,2022-07-17,Films (Non-English),7,Jaadugar,,3250000,1
417,2022-07-17,Films (Non-English),8,Mirreyes vs Godinez,,2720000,1
418,2022-07-17,Films (Non-English),9,RRR (Hindi),,2520000,9
419,2022-07-17,Films (Non-English),10,Major (Hindi),,2170000,2
440,2022-07-10,Films (English),1,The Sea Beast,,33520000,1
441,2022-07-10,Films (English),2,Girl in the Picture,,28380000,1
442,2022-07-10,Films (English),3,The Man from Toronto,,24380000,3
443,2022-07-10,Films (English),4,Sing 2,,16580000,3
444,2022-07-10,Films (English),5,American Assassin,,13360000,1
445,2022-07-10,Films (English),6,Grand Isle,,11460000,1
446,2022-07-10,Films (English),7,"Hello, Goodbye, and Everything in Between",,10260000,1
447,2022-07-10,Films (English),8,Hustle,,9400000,5
448,2022-07-10,Films (English),9,Mean Girls,,8110000,1
449,2022-07-10,Films (English),10,The Dark Knight Rises,,7750000,1
450,2022-07-10,Films (Non-English),1,Dangerous Liaisons,,11010000,1
451,2022-07-10,Films (Non-English),2,Major (Hindi),,5990000,1
452,2022-07-10,Films (Non-English),3,Tadeo Jones 2: El secreto del Rey Midas,,4300000,2
453,2022-07-10,Films (Non-English),4,Incantation,,3240000,1
454,2022-07-10,Films (Non-English),5,RRR (Hindi),,2850000,8
455,2022-07-10,Films (Non-English),6,Leon's Heart,,2300000,2
456,2022-07-10,Films (Non-English),7,Blasted,,2170000,2
457,2022-07-10,Films (Non-English),8,Major (Telugu),,2000000,1
458,2022-07-10,Films (Non-English),9,Operation Romeo,,1940000,1
459,2022-07-10,Films (Non-English),10,Bhool Bhulaiyaa 2,,1850000,4
480,2022-07-03,Films (English),1,The Man from Toronto,,62640000,2
481,2022-07-03,Films (English),2,Sing 2,,24080000,2
482,2022-07-03,Films (English),3,Love & Gelato,,18900000,2
483,2022-07-03,Films (English),4,Hustle,,14640000,4
484,2022-07-03,Films (English),5,Glamour Girls,,12390000,1
485,2022-07-03,Films (English),6,Homefront,,11000000,1
486,2022-07-03,Films (English),7,Spiderhead,,9520000,3
487,2022-07-03,Films (English),8,The Mist,,6230000,2
488,2022-07-03,Films (English),9,Chickenhare and the Hamster of Darkness,,5980000,4
489,2022-07-03,Films (English),10,Backtrace,,4530000,1
490,2022-07-03,Films (Non-English),1,Blasted,,8410000,1
491,2022-07-03,Films (Non-English),2,Anek,,4900000,1
492,2022-07-03,Films (Non-English),3,Bhool Bhulaiyaa 2,,3690000,3
493,2022-07-03,Films (Non-English),4,Doom of Love,,3530000,2
494,2022-07-03,Films (Non-English),5,Heart Parade,,3530000,3
495,2022-07-03,Films (Non-English),6,RRR (Hindi),,3500000,7
496,2022-07-03,Films (Non-English),7,The Wrath of God,,2620000,3
497,2022-07-03,Films (Non-English),8,Leon's Heart,,2300000,1
498,2022-07-03,Films (Non-English),9,Tadeo Jones 2: El secreto del Rey Midas,,1980000,1
499,2022-07-03,Films (Non-English),10,Grudge,,1880000,5
520,2022-06-26,Films (English),1,The Man from Toronto,,53890000,1
521,2022-06-26,Films (English),2,Spiderhead,,38300000,2
522,2022-06-26,Films (English),3,Hustle,,26050000,3
523,2022-06-26,Films (English),4,Love & Gelato,,25790000,1
524,2022-06-26,Films (English),5,Sing 2,,24270000,1
525,2022-06-26,Films (English),6,Chickenhare and the Hamster of Darkness,,10960000,3
526,2022-06-26,Films (English),7,Collision,,8450000,2
527,2022-06-26,Films (English),8,The Mist,,8400000,1
528,2022-06-26,Films (English),9,Halftime,,8370000,2
529,2022-06-26,Films (English),10,It,,8350000,1
530,2022-06-26,Films (Non-English),1,Bhool Bhulaiyaa 2,,12290000,2
531,2022-06-26,Films (Non-English),2,Heart Parade,,9100000,2
532,2022-06-26,Films (Non-English),3,The Wrath of God,,8450000,2
533,2022-06-26,Films (Non-English),4,Centauro,,6510000,2
534,2022-06-26,Films (Non-English),5,Doom of Love,,5920000,1
535,2022-06-26,Films (Non-English),6,Loca por el trabajo,,3570000,2
536,2022-06-26,Films (Non-English),7,RRR (Hindi),,2920000,6
537,2022-06-26,Films (Non-English),8,CBI 5: The Brain,,1770000,3
538,2022-06-26,Films (Non-English),9,In Our Prime,,1730000,1
539,2022-06-26,Films (Non-English),10,Through My Window,,1500000,13
560,2022-06-19,Films (English),1,Hustle,,57190000,2
561,2022-06-19,Films (English),2,Spiderhead,,35400000,1
562,2022-06-19,Films (English),3,Chickenhare and the Hamster of Darkness,,23750000,2
563,2022-06-19,Films (English),4,Halftime,,18880000,1
564,2022-06-19,Films (English),5,Interceptor,,13110000,3
565,2022-06-19,Films (English),6,Collision,,12960000,1
566,2022-06-19,Films (English),7,Trees of Peace,,9380000,1
567,2022-06-19,Films (English),8,Sonic the Hedgehog,,4570000,8
568,2022-06-19,Films (English),9,A Perfect Pairing,,4440000,5
569,2022-06-19,Films (English),10,Senior Year,,4200000,6
570,2022-06-19,Films (Non-English),1,The Wrath of God,,17230000,1
571,2022-06-19,Films (Non-English),2,Centauro,,13870000,1
572,2022-06-19,Films (Non-English),3,Heart Parade,,12400000,1
573,2022-06-19,Films (Non-English),4,CBI 5: The Brain,,6090000,2
574,2022-06-19,Films (Non-English),5,Bhool Bhulaiyaa 2,,4120000,1
575,2022-06-19,Films (Non-English),6,Loca por el trabajo,,3970000,1
576,2022-06-19,Films (Non-English),7,RRR (Hindi),,3150000,5
577,2022-06-19,Films (Non-English),8,Don,,2740000,2
578,2022-06-19,Films (Non-English),9,Ben & Jody,,1950000,1
579,2022-06-19,Films (Non-English),10,Belzebuth,,1860000,2
600,2022-06-12,Films (English),1,Hustle,,84580000,1
601,2022-06-12,Films (English),2,Interceptor,,40700000,2
602,2022-06-12,Films (English),3,Chickenhare and the Hamster of Darkness,,9820000,1
603,2022-06-12,Films (English),4,The Amazing Spider-Man,,8440000,2
604,2022-06-12,Films (English),5,Senior Year,,7220000,5
605,2022-06-12,Films (English),6,A Perfect Pairing,,7130000,4
606,2022-06-12,Films (English),7,Mission: Impossible - Ghost Protocol,,6550000,1
607,2022-06-12,Films (English),8,Rambo: Last Blood,,6530000,1
608,2022-06-12,Films (English),9,Deep Impact,,6260000,1
609,2022-06-12,Films (English),10,Sonic the Hedgehog,,5510000,7
610,2022-06-12,Films (Non-English),1,RRR (Hindi),,5230000,4
611,2022-06-12,Films (Non-English),2,El paseo 6,,5000000,1
612,2022-06-12,Films (Non-English),3,Don,,3640000,1
613,2022-06-12,Films (Non-English),4,Toscana,,2720000,4
614,2022-06-12,Films (Non-English),5,The Takedown,,2230000,6
615,2022-06-12,Films (Non-English),6,Belzebuth,,2060000,1
616,2022-06-12,Films (Non-English),7,F*ck Love Too,,2010000,4
617,2022-06-12,Films (Non-English),8,The Perfect Family,,1870000,5
618,2022-06-12,Films (Non-English),9,Gladbeck: The Hostage Crisis,,1830000,1
619,2022-06-12,Films (Non-English),10,CBI 5: The Brain,,1710000,1
640,2022-06-05,Films (English),1,Interceptor,,35600000,1
641,2022-06-05,Films (English),2,A Perfect Pairing,,14410000,3
642,2022-06-05,Films (English),3,The Amazing Spider-Man,,13500000,1
643,2022-06-05,Films (English),4,Senior Year,,13260000,4
644,2022-06-05,Films (English),5,Memoirs of a Geisha,,10200000,1
645,2022-06-05,Films (English),6,The Outpost,,10120000,1
646,2022-06-05,Films (English),7,Disappearance at Clifton Hill,,8670000,1
647,2022-06-05,Films (English),8,Sonic the Hedgehog,,6500000,6
648,2022-06-05,Films (English),9,Jack Reacher,,5370000,1
649,2022-06-05,Films (English),10,Jackass 4.5,,4820000,3
650,2022-06-05,Films (Non-English),1,RRR (Hindi),,13940000,3
651,2022-06-05,Films (Non-English),2,Toscana,,5540000,3
652,2022-06-05,Films (Non-English),3,F*ck Love Too,,4780000,3
653,2022-06-05,Films (Non-English),4,The Takedown,,3670000,5
654,2022-06-05,Films (Non-English),5,The Perfect Family,,3040000,4
655,2022-06-05,Films (Non-English),6,Gangubai Kathiawadi,,2840000,6
656,2022-06-05,Films (Non-English),7,Luccas Neto em: O Plano dos Vilões,,2490000,1
657,2022-06-05,Films (Non-English),8,Jana Gana Mana,,2230000,1
658,2022-06-05,Films (Non-English),9,Jersey,,2110000,3
659,2022-06-05,Films (Non-English),10,4 Kings,,1920000,1
680,2022-05-29,Films (English),1,A Perfect Pairing,,32630000,2
681,2022-05-29,Films (English),2,Senior Year,,24560000,3
682,2022-05-29,Films (English),3,Jackass 4.5,,18540000,2
683,2022-05-29,Films (English),4,Dangerous,,11740000,2
684,2022-05-29,Films (English),5,Sonic the Hedgehog,,8910000,5
685,2022-05-29,Films (English),6,Top Gun,,6440000,1
686,2022-05-29,Films (English),7,Cleveland Abduction,,6360000,1
687,2022-05-29,Films (English),8,Turbo,,5310000,1
688,2022-05-29,Films (English),9,Our Father,,5150000,3
689,2022-05-29,Films (English),10,Ben Is Back,,4610000,1
690,2022-05-29,Films (Non-English),1,RRR (Hindi),,18360000,2
691,2022-05-29,Films (Non-English),2,F*ck Love Too,,15600000,2
692,2022-05-29,Films (Non-English),3,Toscana,,14000000,2
693,2022-05-29,Films (Non-English),4,The Takedown,,6090000,4
694,2022-05-29,Films (Non-English),5,Jersey,,5490000,2
695,2022-05-29,Films (Non-English),6,The Perfect Family,,4840000,3
696,2022-05-29,Films (Non-English),7,Gangubai Kathiawadi,,4840000,5
697,2022-05-29,Films (Non-English),8,Godspeed,,4640000,1
698,2022-05-29,Films (Non-English),9,Larva Pendant,,3090000,1
699,2022-05-29,Films (Non-English),10,Toolsidas Junior,,2960000,1
720,2022-05-22,Films (English),1,Senior Year,,62420000,2
721,2022-05-22,Films (English),2,A Perfect Pairing,,33000000,1
722,2022-05-22,Films (English),3,Dangerous,,18060000,1
723,2022-05-22,Films (English),4,Sonic the Hedgehog,,15990000,4
724,2022-05-22,Films (English),5,Our Father,,13580000,2
725,2022-05-22,Films (English),6,Jackass 4.5,,12080000,1
726,2022-05-22,Films (English),7,Marmaduke,,7480000,3
727,2022-05-22,Films (English),8,Operation Mincemeat,,6720000,2
728,2022-05-22,Films (English),9,365 Days: This Day,,6110000,4
729,2022-05-22,Films (English),10,Borrego,,6080000,1
