,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,cumulative_weeks_in_top_10
1647,2021-12-12,Films (English),8,Redemption Day,,9790000,1
1648,2021-12-12,Films (English),9,Bruised,,8970000,3
1649,2021-12-12,Films (English),10,The Christmas Chronicles,,8510000,2
1650,2021-12-12,Films (Non-English),1,The Whole Truth,,10540000,2
1651,2021-12-12,Films (Non-English),2,Spoiled Brats,,9820000,3
1652,2021-12-12,Films (Non-English),3,David and the Elves,,9110000,1
1653,2021-12-12,Films (Non-English),4,Anonymously Yours,,8970000,1
1654,2021-12-12,Films (Non-English),5,Sooryavanshi,,8840000,2
1655,2021-12-12,Films (Non-English),6,Green Snake,,6920000,2
1656,2021-12-12,Films (Non-English),7,More the Merrier,,6010000,2
1657,2021-12-12,Films (Non-English),8,Bordertown: Mural Murders,,5560000,2
1658,2021-12-12,Films (Non-English),9,Two,,5020000,1
1659,2021-12-12,Films (Non-English),10,The Claus Family,,2610000,6
1680,2021-12-05,Films (English),1,The Power of the Dog,,27200000,1
1681,2021-12-05,Films (English),2,A Castle For Christmas,,25550000,2
1682,2021-12-05,Films (English),3,Red Notice,,25400000,4
1683,2021-12-05,Films (English),4,Bruised,,23370000,2
1684,2021-12-05,Films (English),5,A Boy Called Christmas,,19360000,2
1685,2021-12-05,Films (English),6,Single All The Way,,13820000,1
1686,2021-12-05,Films (English),7,14 Peaks: Nothing Is Impossible,,12170000,1
1687,2021-12-05,Films (English),8,The Christmas Chronicles,,7940000,1
1688,2021-12-05,Films (English),9,The Christmas Chronicles: Part Two,,7790000,1
1689,2021-12-05,Films (English),10,Love Hard,,7240000,5
1690,2021-12-05,Films (Non-English),1,Spoiled Brats,,26730000,2
1691,2021-12-05,Films (Non-English),2,The Whole Truth,,11950000,1
1692,2021-12-05,Films (Non-English),3,Green Snake,,10650000,1
1693,2021-12-05,Films (Non-English),4,More the Merrier,,10320000,1
1694,2021-12-05,Films (Non-English),5,Sooryavanshi,,7110000,1
1695,2021-12-05,Films (Non-English),6,Outlaws,,3200000,2
1696,2021-12-05,Films (Non-English),7,The Claus Family,,2870000,5
1697,2021-12-05,Films (Non-English),8,Just Short of Perfect,,2460000,3
1698,2021-12-05,Films (Non-English),9,Dhamaka,,2350000,3
1699,2021-12-05,Films (Non-English),10,Bordertown: Mural Murders,,2100000,1
1720,2021-11-28,Films (English),1,Red Notice,,50650000,3
1721,2021-11-28,Films (English),2,Bruised,,47700000,1
1722,2021-11-28,Films (English),3,A Boy Called Christmas,,26820000,1
1723,2021-11-28,Films (English),4,A Castle For Christmas,,20870000,1
1724,2021-11-28,Films (English),5,The Princess Switch 3: Romancing the Star,,16250000,2
1725,2021-11-28,Films (English),6,The Croods,,15860000,2
1726,2021-11-28,Films (English),7,Jack Reacher: Never Go Back,,14670000,1
1727,2021-11-28,Films (English),8,Extinct,,13320000,1
1728,2021-11-28,Films (English),9,Central Intelligence,,10520000,2
1729,2021-11-28,Films (English),10,Love Hard,,9780000,4
1730,2021-11-28,Films (Non-English),1,Spoiled Brats,,15830000,1
1731,2021-11-28,Films (Non-English),2,Outlaws,,8730000,1
1732,2021-11-28,Films (Non-English),3,Just Short of Perfect,,8210000,2
1733,2021-11-28,Films (Non-English),4,Love Me Instead,,5880000,2
1734,2021-11-28,Films (Non-English),5,Dhamaka,,4820000,2
1735,2021-11-28,Films (Non-English),6,Earwig and the Witch,,3720000,2
1736,2021-11-28,Films (Non-English),7,Prayers for the Stolen,,2780000,2
1737,2021-11-28,Films (Non-English),8,Yara,,2640000,4
1738,2021-11-28,Films (Non-English),9,The Claus Family,,2500000,4
1739,2021-11-28,Films (Non-English),10,Sinkhole,,2260000,1
1760,2021-11-21,Films (English),1,Red Notice,,129110000,2
1761,2021-11-21,Films (English),2,The Princess Switch 3: Romancing the Star,,24770000,1
1762,2021-11-21,Films (English),3,Love Hard,,21240000,3
1763,2021-11-21,Films (English),4,Central Intelligence,,14910000,1
1764,2021-11-21,Films (English),5,The Harder They Fall,,13770000,3
1765,2021-11-21,Films (English),6,The Croods,,13440000,1
1766,2021-11-21,Films (English),7,Army of Thieves,,12260000,4
1767,2021-11-21,Films (English),8,Trolls,,10120000,1
1768,2021-11-21,Films (English),9,6 Underground,,7770000,1
1769,2021-11-21,Films (English),10,Goosebumps 2: Haunted Halloween,,7680000,1
1770,2021-11-21,Films (Non-English),1,Just Short of Perfect,,9630000,1
1771,2021-11-21,Films (Non-English),2,7 Prisoners,,9570000,2
1772,2021-11-21,Films (Non-English),3,Yara,,5660000,3
1773,2021-11-21,Films (Non-English),4,Prayers for the Stolen,,4700000,1
1774,2021-11-21,Films (Non-English),5,Dhamaka,,4200000,1
1775,2021-11-21,Films (Non-English),6,Love Me Instead,,3000000,1
1776,2021-11-21,Films (Non-English),7,The Claus Family,,2420000,3
1777,2021-11-21,Films (Non-English),8,Earwig and the Witch,,2100000,1
1778,2021-11-21,Films (Non-English),9,The Forgotten Battle,,1940000,6
1779,2021-11-21,Films (Non-English),10,Meenakshi Sundareshwar,,1900000,3
1800,2021-11-14,Films (English),1,Red Notice,,148720000,1
1801,2021-11-14,Films (English),2,Love Hard,,58560000,2
1802,2021-11-14,Films (English),3,The Harder They Fall,,33060000,2
1803,2021-11-14,Films (English),4,Army of Thieves,,20560000,3
1804,2021-11-14,Films (English),5,Father Christmas Is Back,,13780000,1
1805,2021-11-14,Films (English),6,211,,7900000,1
1806,2021-11-14,Films (English),7,Army of the Dead,,7620000,3
1807,2021-11-14,Films (English),8,Passing,,7490000,1
1808,2021-11-14,Films (English),9,Transformers: The Last Knight,,6920000,2
1809,2021-11-14,Films (English),10,Jumanji: The Next Level,,6760000,1
1810,2021-11-14,Films (Non-English),1,Yara,,17950000,2
1811,2021-11-14,Films (Non-English),2,7 Prisoners,,9690000,1
1812,2021-11-14,Films (Non-English),3,The Claus Family,,4440000,2
1813,2021-11-14,Films (Non-English),4,Meenakshi Sundareshwar,,4410000,2
1814,2021-11-14,Films (Non-English),5,The Forgotten Battle,,2630000,5
1815,2021-11-14,Films (Non-English),6,Stuck Together,,2610000,4
1816,2021-11-14,Films (Non-English),7,Lords of Scam,,2120000,1
1817,2021-11-14,Films (Non-English),8,Fierce,,1800000,1
1818,2021-11-14,Films (Non-English),9,Der Fall Collini,,1590000,2
1819,2021-11-14,Films (Non-English),10,Doctor (Tamil),,1430000,2
1840,2021-11-07,Films (English),1,Army of Thieves,,71610000,2
1841,2021-11-07,Films (English),2,The Harder They Fall,,64760000,1
1842,2021-11-07,Films (English),3,Love Hard,,40530000,1
1843,2021-11-07,Films (English),4,Army of the Dead,,16910000,2
1844,2021-11-07,Films (English),5,Transformers: The Last Knight,,13180000,1
1845,2021-11-07,Films (English),6,21 Jump Street,,11690000,1
1846,2021-11-07,Films (English),7,Hypnotic,,11140000,2
1847,2021-11-07,Films (English),8,The Girl in the Spider's Web,,6580000,1
1848,2021-11-07,Films (English),9,Amina,,6110000,1
1849,2021-11-07,Films (English),10,Just Go With It,,5740000,1
1850,2021-11-07,Films (Non-English),1,Yara,,11610000,1
1851,2021-11-07,Films (Non-English),2,The Claus Family,,6760000,1
1852,2021-11-07,Films (Non-English),3,Stuck Together,,5780000,3
1853,2021-11-07,Films (Non-English),4,The Forgotten Battle,,3860000,4
1854,2021-11-07,Films (Non-English),5,Der Fall Collini,,3230000,1
1855,2021-11-07,Films (Non-English),6,Meenakshi Sundareshwar,,2820000,1
1856,2021-11-07,Films (Non-English),7,Nobody Sleeps in the Woods Tonight 2,,2660000,2
1857,2021-11-07,Films (Non-English),8,Monk Comes Down the Mountain,,1590000,1
1858,2021-11-07,Films (Non-English),9,The Trip,,1540000,4
1859,2021-11-07,Films (Non-English),10,Doctor (Tamil),,1530000,1
1880,2021-10-31,Films (English),1,Army of Thieves,,49640000,1
1881,2021-10-31,Films (English),2,Hypnotic,,24620000,1
1882,2021-10-31,Films (English),3,Night Teeth,,17010000,2
1883,2021-10-31,Films (English),4,Final Score,,9840000,1
1884,2021-10-31,Films (English),5,King Arthur: Legend of the Sword,,9150000,1
1885,2021-10-31,Films (English),6,Only Mine,,6670000,1
1886,2021-10-31,Films (English),7,Army of the Dead,,5780000,1
1887,2021-10-31,Films (English),8,Bloodshot,,5600000,1
1888,2021-10-31,Films (English),9,A Dog's Journey,,5350000,2
1889,2021-10-31,Films (English),10,Venom,,4190000,4
1890,2021-10-31,Films (Non-English),1,Stuck Together,,12000000,2
1891,2021-10-31,Films (Non-English),2,The Forgotten Battle,,8410000,3
1892,2021-10-31,Films (Non-English),3,Nobody Sleeps in the Woods Tonight 2,,6560000,1
1893,2021-10-31,Films (Non-English),4,In for a Murder,,4790000,2
1894,2021-10-31,Films (Non-English),5,The Trip,,3310000,3
1895,2021-10-31,Films (Non-English),6,Nobody Sleeps in the Woods Tonight,,1900000,1
1896,2021-10-31,Films (Non-English),7,Friendzone,,1410000,5
1897,2021-10-31,Films (Non-English),8,The Four of Us,,1190000,2
1898,2021-10-31,Films (Non-English),9,Budapest,,1170000,1
1899,2021-10-31,Films (Non-English),10,Grudge,,1110000,4
1920,2021-10-24,Films (English),1,Night Teeth,,31870000,1
1921,2021-10-24,Films (English),2,Venom,,7900000,3
1922,2021-10-24,Films (English),3,What Happens in Vegas,,7380000,1
1923,2021-10-24,Films (English),4,A Dog's Journey,,5780000,1
1924,2021-10-24,Films (English),5,My Little Pony: A New Generation,,5570000,5
1925,2021-10-24,Films (English),6,Unfaithful,,5350000,1
1926,2021-10-24,Films (English),7,Going in Style,,4520000,2
1927,2021-10-24,Films (English),8,The Guilty,,4400000,4
1928,2021-10-24,Films (English),9,Street Kings,,3440000,1
1929,2021-10-24,Films (English),10,Hotel Transylvania 3: Summer Vacation,,3430000,4
1930,2021-10-24,Films (Non-English),1,The Forgotten Battle,,25800000,2
1931,2021-10-24,Films (Non-English),2,The Trip,,11550000,2
1932,2021-10-24,Films (Non-English),3,Stuck Together,,9000000,1
1933,2021-10-24,Films (Non-English),4,In for a Murder,,6520000,1
1934,2021-10-24,Films (Non-English),5,The Four of Us,,4140000,1
1935,2021-10-24,Films (Non-English),6,"My Brother, My Sister",,2680000,3
1936,2021-10-24,Films (Non-English),7,Grudge,,2240000,3
1937,2021-10-24,Films (Non-English),8,Friendzone,,1910000,4
1938,2021-10-24,Films (Non-English),9,Confessions of an Invisible Girl,,1400000,5
1939,2021-10-24,Films (Non-English),10,Beauty and the Beast,,1150000,4
1960,2021-10-17,Films (English),1,Venom,,20410000,2
1961,2021-10-17,Films (English),2,The Guilty,,12590000,3
1962,2021-10-17,Films (English),3,Security,,9470000,2
1963,2021-10-17,Films (English),4,My Little Pony: A New Generation,,8220000,4
1964,2021-10-17,Films (English),5,There's Someone Inside Your House,,7380000,2
1965,2021-10-17,Films (English),6,Pokémon the Movie: Secrets of the Jungle,,7300000,2
1966,2021-10-17,Films (English),7,Redemption,,5800000,1
1967,2021-10-17,Films (English),8,Titanic,,5000000,2
1968,2021-10-17,Films (English),9,Going in Style,,4950000,1
1969,2021-10-17,Films (English),10,Knight and Day,,4770000,1
1970,2021-10-17,Films (Non-English),1,The Forgotten Battle,,21460000,1
1971,2021-10-17,Films (Non-English),2,"My Brother, My Sister",,7360000,2
1972,2021-10-17,Films (Non-English),3,Grudge,,6060000,2
1973,2021-10-17,Films (Non-English),4,Fever Dream,,6030000,1
1974,2021-10-17,Films (Non-English),5,The Trip,,3390000,1
1975,2021-10-17,Films (Non-English),6,Friendzone,,3340000,3
1976,2021-10-17,Films (Non-English),7,Confessions of an Invisible Girl,,2120000,4
1977,2021-10-17,Films (Non-English),8,Anything for a Pop Star,,1870000,1
1978,2021-10-17,Films (Non-English),9,Violet Evergarden the Movie,,1800000,1
1979,2021-10-17,Films (Non-English),10,Beauty and the Beast,,1800000,3
2000,2021-10-10,Films (English),1,The Guilty,,42280000,2
2001,2021-10-10,Films (English),2,There's Someone Inside Your House,,20480000,1
2002,2021-10-10,Films (English),3,Venom,,13920000,1
2003,2021-10-10,Films (English),4,My Little Pony: A New Generation,,13370000,3
2004,2021-10-10,Films (English),5,Titanic,,10270000,1
2005,2021-10-10,Films (English),6,Ride Along 2,,8030000,1
2006,2021-10-10,Films (English),7,Heat,,7650000,1
2007,2021-10-10,Films (English),8,Pokémon the Movie: Secrets of the Jungle,,7520000,1
2008,2021-10-10,Films (English),9,Mr. & Mrs. Smith,,7180000,1
2009,2021-10-10,Films (English),10,Security,,6830000,1
2010,2021-10-10,Films (Non-English),1,Friendzone,,7210000,2
2011,2021-10-10,Films (Non-English),2,The Seven Deadly Sins: Cursed by Light,,4070000,2
2012,2021-10-10,Films (Non-English),3,Sounds Like Love,,3600000,2
2013,2021-10-10,Films (Non-English),4,Confessions of an Invisible Girl,,2730000,3
2014,2021-10-10,Films (Non-English),5,Forever Rich,,2540000,1
2015,2021-10-10,Films (Non-English),6,Thalaivii,,2110000,2
2016,2021-10-10,Films (Non-English),7,Grudge,,1940000,1
2017,2021-10-10,Films (Non-English),8,Luccas Neto em: O Mapa do Tesouro 2,,1830000,1
2018,2021-10-10,Films (Non-English),9,Beauty and the Beast,,1790000,2
2019,2021-10-10,Films (Non-English),10,"My Brother, My Sister",,1670000,1
2040,2021-10-03,Films (English),1,The Guilty,,47600000,1
2041,2021-10-03,Films (English),2,My Little Pony: A New Generation,,24510000,2
2042,2021-10-03,Films (English),3,The Starling,,20130000,2
2043,2021-10-03,Films (English),4,No One Gets Out Alive,,17010000,1
2044,2021-10-03,Films (English),5,Britney Vs Spears,,16750000,1
2045,2021-10-03,Films (English),6,Intrusion,,12050000,2
2046,2021-10-03,Films (English),7,Grown Ups,,8130000,2
2047,2021-10-03,Films (English),8,Kate,,5680000,4
2048,2021-10-03,Films (English),9,Man on Fire,,4960000,3
2049,2021-10-03,Films (English),10,Vivo,,4160000,7
2050,2021-10-03,Films (Non-English),1,Friendzone,,8740000,1
2051,2021-10-03,Films (Non-English),2,Sounds Like Love,,7100000,1
2052,2021-10-03,Films (Non-English),3,Confessions of an Invisible Girl,,6350000,2
2053,2021-10-03,Films (Non-English),4,The Seven Deadly Sins: Cursed by Light,,4650000,1
2054,2021-10-03,Films (Non-English),5,Thalaivii,,3120000,1
2055,2021-10-03,Films (Non-English),6,The Father Who Moves Mountains,,2940000,3
2056,2021-10-03,Films (Non-English),7,Beauty and the Beast,,2740000,1
2057,2021-10-03,Films (Non-English),8,Je Suis Karl,,2140000,1
2058,2021-10-03,Films (Non-English),9,The Stronghold,,1840000,3
2059,2021-10-03,Films (Non-English),10,Freaks – You're One of Us,,1450000,1
2080,2021-09-26,Films (English),1,Intrusion,,30040000,1
2081,2021-09-26,Films (English),2,The Starling,,16670000,1
2082,2021-09-26,Films (English),3,My Little Pony: A New Generation,,15510000,1
2083,2021-09-26,Films (English),4,Man on Fire,,12590000,2
2084,2021-09-26,Films (English),5,Kate,,11280000,3
2085,2021-09-26,Films (English),6,Grown Ups,,9250000,1
2086,2021-09-26,Films (English),7,Schumacher,,8040000,2
2087,2021-09-26,Films (English),8,Safe House,,6930000,2
2088,2021-09-26,Films (English),9,Nightbooks,,6790000,2
2089,2021-09-26,Films (English),10,The Marksman,,5210000,2
2090,2021-09-26,Films (Non-English),1,The Father Who Moves Mountains,,16120000,2
2091,2021-09-26,Films (Non-English),2,The Stronghold,,9490000,2
2092,2021-09-26,Films (Non-English),3,Confessions of an Invisible Girl,,7130000,1
2093,2021-09-26,Films (Non-English),4,Prey,,2330000,3
2094,2021-09-26,Films (Non-English),5,Forgotten We'll Be,,1580000,1
2095,2021-09-26,Films (Non-English),6,Ankahi Kahaniya,,1260000,1
2096,2021-09-26,Films (Non-English),7,Blood Red Sky,,1120000,9
2097,2021-09-26,Films (Non-English),8,Pinkfong & Baby Shark's Space Adventure,,1050000,2
2098,2021-09-26,Films (Non-English),9,Xtreme,,1030000,3
2099,2021-09-26,Films (Non-English),10,Rurouni Kenshin: The Beginning,,930000,7
2120,2021-09-19,Films (English),1,Kate,,37400000,2
2121,2021-09-19,Films (English),2,Schumacher,,17290000,1
2122,2021-09-19,Films (English),3,Man on Fire,,16160000,1
2123,2021-09-19,Films (English),4,The Marksman,,14680000,1
2124,2021-09-19,Films (English),5,Nightbooks,,13160000,1
2125,2021-09-19,Films (English),6,The Equalizer 2,,12310000,1
2126,2021-09-19,Films (English),7,Firedrake the Silver Dragon,,9650000,1
2127,2021-09-19,Films (English),8,Safe House,,9060000,1
2128,2021-09-19,Films (English),9,Afterlife of the Party,,8100000,3
2129,2021-09-19,Films (English),10,First Kill,,6950000,1
2130,2021-09-19,Films (Non-English),1,The Father Who Moves Mountains,,14830000,1
2131,2021-09-19,Films (Non-English),2,Prey,,14270000,2
2132,2021-09-19,Films (Non-English),3,The Stronghold,,10360000,1
2133,2021-09-19,Films (Non-English),4,JJ+E,,3140000,2
2134,2021-09-19,Films (Non-English),5,O Candidato Honesto 2,,2610000,1
2135,2021-09-19,Films (Non-English),6,Ilhados,,2240000,1
2136,2021-09-19,Films (Non-English),7,Love of My Loves,,1880000,2
2137,2021-09-19,Films (Non-English),8,Kung Fu Hustle,,1800000,2
2138,2021-09-19,Films (Non-English),9,The Women and the Murderer,,1470000,2
2139,2021-09-19,Films (Non-English),10,Amores perros,,1450000,1
2160,2021-09-12,Films (English),1,Kate,,38780000,1
2161,2021-09-12,Films (English),2,Afterlife of the Party,,23790000,2
2162,2021-09-12,Films (English),3,Worth,,13560000,2
2163,2021-09-12,Films (English),4,He's All That,,10930000,3
2164,2021-09-12,Films (English),5,SAS: Rise of the Black Swan,,9930000,3
2165,2021-09-12,Films (English),6,In Time,,8930000,1
2166,2021-09-12,Films (English),7,Noah,,7770000,1
2167,2021-09-12,Films (English),8,Vivo,,6960000,6
2168,2021-09-12,Films (English),9,Sweet Girl,,6570000,4
2169,2021-09-12,Films (English),10,Monte Carlo,,6200000,1
2170,2021-09-12,Films (Non-English),1,Prey,,13440000,1
2171,2021-09-12,Films (Non-English),2,JJ+E,,5410000,1
2172,2021-09-12,Films (Non-English),3,Kung Fu Hustle,,3250000,1
2173,2021-09-12,Films (Non-English),4,Invasion,,2990000,2
2174,2021-09-12,Films (Non-English),5,The Women and the Murderer,,2060000,1
2175,2021-09-12,Films (Non-English),6,Blood Red Sky,,1780000,8
2176,2021-09-12,Films (Non-English),7,Love of My Loves,,1530000,1
2177,2021-09-12,Films (Non-English),8,The Secret Diary of an Exchange Student,,1450000,4
2178,2021-09-12,Films (Non-English),9,Out of my league,,1440000,4
2179,2021-09-12,Films (Non-English),10,Lassie Come Home,,1410000,1
2200,2021-09-05,Films (English),1,He's All That,,36730000,2
2201,2021-09-05,Films (English),2,SAS: Rise of the Black Swan,,32730000,2
2202,2021-09-05,Films (English),3,Afterlife of the Party,,26710000,1
2203,2021-09-05,Films (English),4,Sweet Girl,,13390000,3
2204,2021-09-05,Films (English),5,Vivo,,9380000,5
2205,2021-09-05,Films (English),6,The Loud House Movie,,6640000,3
2206,2021-09-05,Films (English),7,Worth,,6480000,1
2207,2021-09-05,Films (English),8,The Secret Life of Pets,,6450000,3
2208,2021-09-05,Films (English),9,Welcome Home Roscoe Jenkins,,6270000,1
2209,2021-09-05,Films (English),10,Green Lantern,,6230000,1
2210,2021-09-05,Films (Non-English),1,Invasion,,7340000,1
2211,2021-09-05,Films (Non-English),2,Out of my league,,2270000,3
2212,2021-09-05,Films (Non-English),3,The Secret Diary of an Exchange Student,,2100000,3
2213,2021-09-05,Films (Non-English),4,Blood Red Sky,,2080000,7
2214,2021-09-05,Films (Non-English),5,Flu,,1830000,1
2215,2021-09-05,Films (Non-English),6,Black Island,,1420000,3
2216,2021-09-05,Films (Non-English),7,Rurouni Kenshin: The Beginning,,1330000,6
2217,2021-09-05,Films (Non-English),8,Thimmarusu,,1220000,1
2218,2021-09-05,Films (Non-English),9,I Don't Know Whether to Slit My Wrists or Leave Them Long,,1130000,1
2219,2021-09-05,Films (Non-English),10,Pinkfong & Baby Shark's Space Adventure,,1120000,1
2240,2021-08-29,Films (English),1,Sweet Girl,,48140000,2
2241,2021-08-29,Films (English),2,He's All That,,42810000,1
2242,2021-08-29,Films (English),3,SAS: Rise of the Black Swan,,35650000,1
2243,2021-08-29,Films (English),4,The Loud House Movie,,16910000,2
2244,2021-08-29,Films (English),5,The Old Ways,,13720000,1
2245,2021-08-29,Films (English),6,Vivo,,13430000,4
2246,2021-08-29,Films (English),7,The Witcher: Nightmare of the Wolf,,13300000,1
2247,2021-08-29,Films (English),8,The Secret Life of Pets,,10860000,2
2248,2021-08-29,Films (English),9,The Kissing Booth 3,,9560000,3
2249,2021-08-29,Films (English),10,Tomb Raider,,8430000,1
2250,2021-08-29,Films (Non-English),1,Black Island,,6570000,2
2251,2021-08-29,Films (Non-English),2,Out of my league,,5790000,2
2252,2021-08-29,Films (Non-English),3,The Secret Diary of an Exchange Student,,5090000,2
2253,2021-08-29,Films (Non-English),4,Blood Red Sky,,3020000,6
2254,2021-08-29,Films (Non-English),5,Rurouni Kenshin: The Beginning,,2280000,5
2255,2021-08-29,Films (Non-English),6,The Last Mercenary,,2000000,5
2256,2021-08-29,Films (Non-English),7,El infierno,,1560000,4
2257,2021-08-29,Films (Non-English),8,Mimi,,1510000,5
2258,2021-08-29,Films (Non-English),9,Bartkowiak,,1460000,3
2259,2021-08-29,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,,1440000,4
2280,2021-08-22,Films (English),1,Sweet Girl,,57160000,1
2281,2021-08-22,Films (English),2,The Kissing Booth 3,,26170000,2
2282,2021-08-22,Films (English),3,Beckett,,23870000,2
2283,2021-08-22,Films (English),4,Vivo,,21960000,3
2284,2021-08-22,Films (English),5,The Loud House Movie,,13860000,1
2285,2021-08-22,Films (English),6,The Secret Life of Pets,,10110000,1
2286,2021-08-22,Films (English),7,Hotel Transylvania 3: Summer Vacation,,8550000,3
2287,2021-08-22,Films (English),8,The Girl Next Door,,6900000,1
2288,2021-08-22,Films (English),9,Alvin and the Chipmunks: Chipwrecked,,6870000,1
2289,2021-08-22,Films (English),10,Resort to Love,,6320000,4
2290,2021-08-22,Films (Non-English),1,Black Island,,17330000,1
2291,2021-08-22,Films (Non-English),2,The Secret Diary of an Exchange Student,,7910000,1
2292,2021-08-22,Films (Non-English),3,Out of my league,,7120000,1
2293,2021-08-22,Films (Non-English),4,Blood Red Sky,,4520000,5
2294,2021-08-22,Films (Non-English),5,Rurouni Kenshin: The Beginning,,3630000,4
2295,2021-08-22,Films (Non-English),6,The Last Mercenary,,3340000,4
2296,2021-08-22,Films (Non-English),7,Sputnik,,3290000,1
2297,2021-08-22,Films (Non-English),8,El infierno,,2650000,3
2298,2021-08-22,Films (Non-English),9,Mimi,,2340000,4
2299,2021-08-22,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,,2250000,3
2320,2021-08-15,Films (English),1,The Kissing Booth 3,,90860000,1
2321,2021-08-15,Films (English),2,Vivo,,37050000,2
2322,2021-08-15,Films (English),3,Beckett,,23580000,1
2323,2021-08-15,Films (English),4,Hotel Transylvania 3: Summer Vacation,,21460000,2
2324,2021-08-15,Films (English),5,Aftermath,,15870000,2
2325,2021-08-15,Films (English),6,Resort to Love,,9860000,3
2326,2021-08-15,Films (English),7,The Kissing Booth,,8590000,1
2327,2021-08-15,Films (English),8,The Kissing Booth 2,,8370000,1
2328,2021-08-15,Films (English),9,Dead Man Down,,7580000,2
2329,2021-08-15,Films (English),10,Untold: Malice at the Palace,,6450000,1
2330,2021-08-15,Films (Non-English),1,The Swarm,,11470000,2
2331,2021-08-15,Films (Non-English),2,The Last Mercenary,,7570000,3
2332,2021-08-15,Films (Non-English),3,Rurouni Kenshin: The Beginning,,6550000,3
2333,2021-08-15,Films (Non-English),4,Blood Red Sky,,6470000,4
2334,2021-08-15,Films (Non-English),5,El infierno,,4890000,2
2335,2021-08-15,Films (Non-English),6,Mimi,,3630000,3
2336,2021-08-15,Films (Non-English),7,Shiny_Flakes: The Teenage Drug Lord,,3440000,2
2337,2021-08-15,Films (Non-English),8,Rurouni Kenshin: The Final,,2820000,3
2338,2021-08-15,Films (Non-English),9,Navarasa,Navarasa: Volume 1,2800000,2
2339,2021-08-15,Films (Non-English),10,Kingdom: Ashin of the North,,2190000,4
2360,2021-08-08,Films (English),1,Aftermath,,24200000,1
2361,2021-08-08,Films (English),2,Resort to Love,,23480000,2
2362,2021-08-08,Films (English),3,Vivo,,21940000,1
2363,2021-08-08,Films (English),4,The Vault,,10870000,1
2364,2021-08-08,Films (English),5,The Losers,,8040000,1
2365,2021-08-08,Films (English),6,The Last Letter From Your Lover,,6850000,3
2366,2021-08-08,Films (English),7,Hotel Transylvania 3: Summer Vacation,,6250000,1
2367,2021-08-08,Films (English),8,Dead Man Down,,5840000,1
2368,2021-08-08,Films (English),9,Wish Dragon,,5150000,5
2369,2021-08-08,Films (English),10,World Trade Center,,5050000,1
2370,2021-08-08,Films (Non-English),1,The Last Mercenary,,23890000,2
2371,2021-08-08,Films (Non-English),2,Rurouni Kenshin: The Beginning,,15080000,2
2372,2021-08-08,Films (Non-English),3,Blood Red Sky,,13300000,3
2373,2021-08-08,Films (Non-English),4,The Swarm,,11380000,1
2374,2021-08-08,Films (Non-English),5,Mimi,,5140000,2
2375,2021-08-08,Films (Non-English),6,Bartkowiak,,4570000,2
2376,2021-08-08,Films (Non-English),7,El infierno,,4420000,1
2377,2021-08-08,Films (Non-English),8,Navarasa,Navarasa: Volume 1,3520000,1
2378,2021-08-08,Films (Non-English),9,Kingdom: Ashin of the North,,3450000,3
2379,2021-08-08,Films (Non-English),10,Shiny_Flakes: The Teenage Drug Lord,,3340000,1
2400,2021-08-01,Films (English),1,Resort to Love,,28050000,1
2401,2021-08-01,Films (English),2,The Last Letter From Your Lover,,18890000,2
2402,2021-08-01,Films (English),3,Trollhunters: Rise of the Titans,,8960000,2
2403,2021-08-01,Films (English),4,Fear Street Part 1: 1994,,6570000,5
2404,2021-08-01,Films (English),5,Wish Dragon,,6290000,4
2405,2021-08-01,Films (English),6,Fear Street Part 3: 1666,,6190000,3
2406,2021-08-01,Films (English),7,Twilight,,5840000,3
2407,2021-08-01,Films (English),8,Fear Street Part 2: 1978,,5840000,4
2408,2021-08-01,Films (English),9,The Twilight Saga: Breaking Dawn: Part 2,,5200000,2
2409,2021-08-01,Films (English),10,The Twilight Saga: New Moon,,5030000,2
2410,2021-08-01,Films (Non-English),1,Blood Red Sky,,52370000,2
2411,2021-08-01,Films (Non-English),2,The Last Mercenary,,16120000,1
2412,2021-08-01,Films (Non-English),3,Kingdom: Ashin of the North,,15120000,2
2413,2021-08-01,Films (Non-English),4,Mimi,,9210000,1
2414,2021-08-01,Films (Non-English),5,Bartkowiak,,9210000,1
2415,2021-08-01,Films (Non-English),6,Rurouni Kenshin: The Beginning,,8610000,1
2416,2021-08-01,Films (Non-English),7,Chernobyl 1986,,5570000,2
2417,2021-08-01,Films (Non-English),8,A Perfect Fit,,3130000,3
2418,2021-08-01,Films (Non-English),9,Major Grom: Plague Doctor,,2770000,4
2419,2021-08-01,Films (Non-English),10,Words Bubble Up Like Soda Pop,,2180000,1
2440,2021-07-25,Films (English),1,Trollhunters: Rise of the Titans,,16130000,1
2441,2021-07-25,Films (English),2,The Last Letter From Your Lover,,13140000,1
2442,2021-07-25,Films (English),3,Twilight,,12550000,2
2443,2021-07-25,Films (English),4,Fear Street Part 3: 1666,,12350000,2
2444,2021-07-25,Films (English),5,The Twilight Saga: New Moon,,10320000,1
2445,2021-07-25,Films (English),6,Fear Street Part 1: 1994,,9240000,4
2446,2021-07-25,Films (English),7,The Twilight Saga: Breaking Dawn: Part 2,,9240000,1
2447,2021-07-25,Films (English),8,The Twilight Saga: Eclipse,,9220000,1
